# wavelength   electrons_per_sec       
  300.0        0.0                     
  300.727      0.0                     
  301.455      0.0                     
  302.182      1.3994537037037037E-16  
  302.91       3.6894814814814814E-16  
  303.637      1.7811296296296297E-16  
  304.365      3.8167037037037037E-16  
  305.092      0.0                     
  305.82       3.0533611111111114E-16  
  306.547      0.0                     
  307.275      8.142296296296296E-16   
  308.002      4.580046296296296E-16   
  308.729      0.0                     
  309.457      1.017787037037037E-16   
  310.184      2.5444722222222224E-16  
  310.912      5.088935185185185E-17   
  311.639      0.0                     
  312.367      0.0                     
  313.094      0.0                     
  313.822      0.0                     
  314.549      4.071148148148148E-16   
  315.277      0.0                     
  316.004      4.7708796296296297E-17  
  316.731      1.017787037037037E-16   
  317.459      2.035574074074074E-16   
  318.186      0.0                     
  318.914      2.035574074074074E-16   
  319.641      0.0                     
  320.369      0.0                     
  321.096      0.0                     
  321.824      4.071148148148148E-16   
  322.551      0.0                     
  323.279      0.0                     
  324.006      0.0                     
  324.733      0.0                     
  325.461      3.0533611111111114E-16  
  326.188      0.0                     
  326.916      1.9083518518518519E-16  
  327.643      0.0                     
  328.371      7.633407407407407E-17   
  329.098      0.0                     
  329.826      2.035574074074074E-16   
  330.553      1.017787037037037E-16   
  331.281      2.2900185185185185E-16  
  332.008      0.0                     
  332.735      0.0                     
  333.463      0.0                     
  334.19       0.0                     
  334.918      0.0                     
  335.645      0.0                     
  336.373      0.0                     
  337.1        0.0                     
  337.828      0.0                     
  338.555      1.081398148148148E-16   
  339.283      1.017787037037037E-16   
  340.01       5.597833333333334E-16   
  340.737      0.0                     
  341.465      0.0                     
  342.192      0.0                     
  342.92       2.321824074074074E-16   
  343.647      2.5444722222222224E-16  
  344.375      0.0                     
  345.102      1.2722314814814816E-16  
  345.83       1.017787037037037E-16   
  346.557      5.088935185185186E-16   
  347.285      4.071148148148148E-16   
  348.012      2.035574074074074E-16   
  348.739      8.142296296296296E-16   
  349.467      2.5444722222222224E-16  
  350.194      0.0                     
  350.922      0.0                     
  351.649      2.5444722222222222E-17  
  352.377      1.017787037037037E-16   
  353.104      3.5622592592592595E-16  
  353.832      3.3078055555555556E-16  
  354.559      2.035574074074074E-16   
  355.287      0.0                     
  356.014      3.6894814814814814E-16  
  356.741      0.0                     
  357.469      0.0                     
  358.196      0.0                     
  358.924      0.0                     
  359.651      0.0                     
  360.379      5.088935185185185E-17   
  361.106      0.0                     
  361.834      4.071148148148148E-16   
  362.561      0.0                     
  363.289      1.7811296296296297E-16  
  364.016      2.035574074074074E-16   
  364.743      2.7353055555555557E-16  
  365.471      0.0                     
  366.198      1.5266851851851852E-16  
  366.926      0.0                     
  367.653      0.0                     
  368.381      1.017787037037037E-16   
  369.108      0.0                     
  369.836      1.017787037037037E-16   
  370.563      0.0                     
  371.291      2.035574074074074E-16   
  372.018      1.017787037037037E-16   
  372.745      5.677342592592593E-16   
  373.473      3.435027777777778E-16   
  374.2        5.343379629629629E-16   
  374.928      0.0                     
  375.655      7.633407407407407E-17   
  376.383      5.852277777777778E-16   
  377.11       0.0                     
  377.838      0.0                     
  378.565      0.0                     
  379.293      0.0                     
  380.02       0.0                     
  380.747      0.0                     
  381.475      0.0                     
  382.202      2.5444722222222224E-16  
  382.93       2.035574074074074E-16   
  383.657      1.017787037037037E-16   
  384.385      0.0                     
  385.112      2.035574074074074E-16   
  385.84       0.0                     
  386.567      0.0                     
  387.295      1.017787037037037E-16   
  388.022      1.5266851851851852E-16  
  388.75       0.0                     
  389.477      0.0                     
  390.204      6.742842592592592E-16   
  390.932      4.325592592592592E-16   
  391.659      2.035574074074074E-16   
  392.387      0.0                     
  393.114      1.3994537037037037E-16  
  393.842      0.0                     
  394.569      5.088935185185185E-17   
  395.297      0.0                     
  396.024      6.147435185185185E-14   
  396.752      8.21336111111111E-12    
  397.479      2.8956944444444443E-10  
  398.206      3.227824074074074E-9    
  398.934      1.565472222222222E-8    
  399.661      4.4797037037037034E-8   
  400.389      9.26925925925926E-8     
  401.116      1.5860185185185185E-7   
  401.844      2.4005648148148147E-7   
  402.571      3.3341481481481484E-7   
  403.299      4.372787037037037E-7    
  404.026      5.487018518518519E-7    
  404.754      6.647537037037036E-7    
  405.481      7.840740740740741E-7    
  406.208      9.075481481481481E-7    
  406.936      1.03775E-6              
  407.663      1.1673703703703704E-6   
  408.391      1.2936388888888889E-6   
  409.118      1.4188425925925927E-6   
  409.846      1.5499351851851851E-6   
  410.573      1.6828055555555555E-6   
  411.301      1.8236296296296295E-6   
  412.028      1.971435185185185E-6    
  412.756      2.120564814814815E-6    
  413.483      2.2760370370370372E-6   
  414.21       2.4617962962962964E-6   
  414.938      2.6824444444444448E-6   
  415.665      2.9133425925925928E-6   
  416.393      3.1287870370370373E-6   
  417.12       3.32012037037037E-6     
  417.848      3.471694444444445E-6    
  418.575      3.5914074074074075E-6   
  419.303      3.719759259259259E-6    
  420.03       3.871768518518518E-6    
  420.758      4.029685185185185E-6    
  421.485      4.201527777777778E-6    
  422.212      4.391296296296296E-6    
  422.94       4.598148148148148E-6    
  423.667      4.83762962962963E-6     
  424.395      5.077611111111112E-6    
  425.122      5.2925740740740744E-6   
  425.85       5.481833333333333E-6    
  426.577      5.649453703703704E-6    
  427.305      5.795083333333333E-6    
  428.032      5.934824074074074E-6    
  428.76       6.0752685185185184E-6   
  429.487      6.274703703703704E-6    
  430.214      6.581768518518519E-6    
  430.942      6.909935185185185E-6    
  431.669      7.259787037037037E-6    
  432.397      7.652212962962963E-6    
  433.124      8.00037037037037E-6     
  433.852      8.267805555555555E-6    
  434.579      8.583027777777778E-6    
  435.307      8.961185185185186E-6    
  436.034      9.304629629629629E-6    
  436.762      9.61277777777778E-6     
  437.489      9.917222222222222E-6    
  438.216      1.0254722222222221E-5   
  438.944      1.0691666666666668E-5   
  439.671      1.1263796296296297E-5   
  440.399      1.18725E-5              
  441.126      1.2406759259259259E-5   
  441.854      1.2811481481481482E-5   
  442.581      1.3078518518518518E-5   
  443.309      1.3248055555555555E-5   
  444.036      1.3400833333333332E-5   
  444.764      1.3639722222222222E-5   
  445.491      1.398212962962963E-5    
  446.218      1.4375185185185185E-5   
  446.946      1.4763055555555557E-5   
  447.673      1.5179537037037036E-5   
  448.401      1.5629074074074073E-5   
  449.128      1.6083333333333336E-5   
  449.856      1.6484537037037036E-5   
  450.583      1.684814814814815E-5    
  451.311      1.722138888888889E-5    
  452.038      1.7634814814814817E-5   
  452.766      1.8023981481481483E-5   
  453.493      1.83975E-5              
  454.22       1.885722222222222E-5    
  454.948      1.9330092592592593E-5   
  455.675      1.9742592592592593E-5   
  456.403      2.0183055555555554E-5   
  457.13       2.0660555555555554E-5   
  457.858      2.10212962962963E-5     
  458.585      2.1321666666666666E-5   
  459.313      2.161361111111111E-5    
  460.04       2.1880277777777777E-5   
  460.768      2.216851851851852E-5    
  461.495      2.2545000000000002E-5   
  462.222      2.294675925925926E-5    
  462.95       2.3319537037037038E-5   
  463.677      2.369787037037037E-5    
  464.405      2.4113333333333332E-5   
  465.132      2.461E-5                
  465.86       2.5267777777777778E-5   
  466.587      2.5946481481481484E-5   
  467.315      2.6467314814814814E-5   
  468.042      2.685361111111111E-5    
  468.77       2.7143981481481484E-5   
  469.497      2.7359074074074074E-5   
  470.224      2.7678055555555556E-5   
  470.952      2.8198611111111114E-5   
  471.679      2.880037037037037E-5    
  472.407      2.9435925925925923E-5   
  473.134      3.0065462962962963E-5   
  473.862      3.0608425925925926E-5   
  474.589      3.106833333333333E-5    
  475.317      3.155324074074074E-5    
  476.044      3.210435185185185E-5    
  476.772      3.2661203703703703E-5   
  477.499      3.325351851851852E-5    
  478.226      3.3923333333333334E-5   
  478.954      3.462796296296296E-5    
  479.681      3.5370555555555554E-5   
  480.409      3.619851851851852E-5    
  481.136      3.702296296296296E-5    
  481.864      3.77012037037037E-5     
  482.591      3.8239814814814813E-5   
  483.319      3.8537129629629636E-5   
  484.046      3.850018518518518E-5    
  484.774      3.826611111111111E-5    
  485.501      3.8085E-5               
  486.228      3.8169999999999995E-5   
  486.956      3.860287037037037E-5    
  487.683      3.934601851851852E-5    
  488.411      4.037009259259259E-5    
  489.138      4.1534722222222225E-5   
  489.866      4.244759259259259E-5    
  490.593      4.306175925925926E-5    
  491.321      4.358898148148148E-5    
  492.048      4.41812037037037E-5     
  492.776      4.4873981481481485E-5   
  493.503      4.5657129629629635E-5   
  494.23       4.649398148148148E-5    
  494.958      4.732212962962963E-5    
  495.685      4.7996111111111115E-5   
  496.413      4.8382500000000006E-5   
  497.14       4.860546296296296E-5    
  497.868      4.886555555555555E-5    
  498.595      4.906388888888889E-5    
  499.323      4.8849907407407405E-5   
  500.05       4.7935925925925926E-5   
  500.778      4.616944444444444E-5    
  501.505      4.333361111111112E-5    
  502.232      3.947935185185185E-5    
  502.96       3.500574074074074E-5    
  503.687      3.036814814814815E-5    
  504.415      2.573777777777778E-5    
  505.142      2.127574074074074E-5    
  505.87       1.7217037037037037E-5   
  506.597      1.3767777777777778E-5   
  507.325      1.1231111111111112E-5   
  508.052      1.003824074074074E-5    
  508.78       1.035537037037037E-5    
  509.507      1.2135648148148149E-5   
  510.234      1.526953703703704E-5    
  510.962      1.946462962962963E-5    
  511.689      2.4452037037037038E-5   
  512.417      3.0103425925925927E-5   
  513.144      3.614601851851852E-5    
  513.872      4.213666666666667E-5    
  514.599      4.7676481481481484E-5   
  515.327      5.255814814814815E-5    
  516.054      5.6857407407407406E-5   
  516.782      6.121601851851851E-5    
  517.509      6.754027777777777E-5    
  518.236      7.686037037037037E-5    
  518.964      8.611564814814815E-5    
  519.691      9.247555555555556E-5    
  520.419      9.590462962962962E-5    
  521.146      9.555185185185184E-5    
  521.874      9.074611111111112E-5    
  522.601      8.475740740740741E-5    
  523.329      8.020500000000001E-5    
  524.056      7.672648148148149E-5    
  524.784      7.302685185185185E-5    
  525.511      6.990398148148148E-5    
  526.238      6.84675E-5              
  526.966      6.877083333333334E-5    
  527.693      7.107324074074074E-5    
  528.421      7.62575E-5              
  529.148      8.318388888888889E-5    
  529.876      9.057324074074074E-5    
  530.603      9.795833333333333E-5    
  531.331      1.0511944444444444E-4   
  532.058      1.1180092592592593E-4   
  532.786      1.1723148148148148E-4   
  533.513      1.2138796296296296E-4   
  534.24       1.245861111111111E-4    
  534.968      1.2603425925925926E-4   
  535.695      1.254638888888889E-4    
  536.423      1.2403888888888888E-4   
  537.15       1.2191481481481482E-4   
  537.878      1.1910740740740741E-4   
  538.605      1.1614351851851852E-4   
  539.333      1.1351388888888888E-4   
  540.06       1.1218518518518518E-4   
  540.788      1.13425E-4              
  541.515      1.2005462962962963E-4   
  542.242      1.3806296296296297E-4   
  542.97       1.7690833333333336E-4   
  543.697      2.5190833333333334E-4   
  544.425      3.9106296296296297E-4   
  545.152      6.372851851851852E-4    
  545.88       0.0010443888888888888   
  546.607      0.0016883703703703702   
  547.335      0.002676972222222222    
  548.062      0.004121666666666667    
  548.79       0.006118194444444444    
  549.517      0.008771166666666667    
  550.244      0.012193148148148147    
  550.972      0.016450462962962965    
  551.699      0.021653425925925927    
  552.427      0.028197685185185183    
  553.154      0.036226666666666664    
  553.882      0.044995                
  554.609      0.05549814814814815     
  555.337      0.08448472222222222     
  556.064      0.23572314814814813     
  556.792      0.5271898148148149      
  557.519      0.6807833333333334      
  558.247      0.7124962962962964      
  558.974      0.710412037037037       
  559.701      0.5850314814814815      
  560.429      0.3201027777777778      
  561.156      0.19464259259259262     
  561.884      0.1889148148148148      
  562.611      0.19871759259259258     
  563.339      0.20961296296296297     
  564.066      0.2184361111111111      
  564.794      0.22575462962962964     
  565.521      0.23425555555555555     
  566.249      0.2424009259259259      
  566.976      0.2499611111111111      
  567.703      0.2587212962962963      
  568.431      0.26777685185185185     
  569.158      0.27621944444444446     
  569.886      0.28501574074074076     
  570.613      0.2943777777777778      
  571.341      0.30335092592592594     
  572.068      0.3113564814814815      
  572.796      0.31880462962962963     
  573.523      0.32510925925925926     
  574.251      0.32975925925925925     
  574.978      0.33319537037037034     
  575.705      0.3360416666666667      
  576.433      0.3385351851851852      
  577.16       0.34100462962962963     
  577.888      0.3441240740740741      
  578.615      0.3480148148148148      
  579.343      0.3525574074074074      
  580.07       0.35780925925925927     
  580.798      0.36358703703703704     
  581.525      0.36908888888888886     
  582.253      0.37372407407407404     
  582.98       0.37727499999999997     
  583.707      0.38047962962962967     
  584.435      0.3905018518518518      
  585.162      0.41249444444444444     
  585.89       0.43843333333333334     
  586.617      0.5189203703703704      
  587.345      0.6989240740740741      
  588.072      0.8398462962962963      
  588.8        0.8705861111111112      
  589.527      0.8629907407407408      
  590.255      0.8049694444444444      
  590.982      0.6497268518518519      
  591.709      0.5264333333333333      
  592.437      0.491625                
  593.164      0.49471018518518517     
  593.892      0.5006601851851852      
  594.619      0.4911842592592593      
  595.347      0.4772527777777778      
  596.074      0.47767777777777776     
  596.802      0.4671259259259259      
  597.529      0.4447148148148148      
  598.257      0.4372768518518519      
  598.984      0.4346138888888889      
  599.711      0.42286111111111113     
  600.439      0.4161425925925926      
  601.166      0.41605277777777777     
  601.894      0.41624537037037035     
  602.621      0.41398981481481484     
  603.349      0.414                   
  604.076      0.4161518518518519      
  604.804      0.4172824074074074      
  605.531      0.4164101851851852      
  606.259      0.4163407407407408      
  606.986      0.4170814814814815      
  607.713      0.417937037037037       
  608.441      0.41849351851851857     
  609.168      0.41770833333333335     
  609.896      0.41653425925925924     
  610.623      0.4154601851851852      
  611.351      0.4149648148148148      
  612.078      0.41859074074074076     
  612.806      0.42733611111111114     
  613.533      0.43354444444444445     
  614.261      0.4368324074074074      
