# wavelength   electrons_per_sec       
  350.0        0.0                     
  350.273      0.0                     
  350.545      0.0                     
  350.818      0.0                     
  351.09       0.0                     
  351.363      0.0                     
  351.636      0.0                     
  351.908      0.0                     
  352.181      3.84909E-18             
  352.453      0.0                     
  352.726      0.0                     
  352.999      0.0                     
  353.271      0.0                     
  353.544      0.0                     
  353.817      3.34204E-14             
  354.089      4.4516E-12              
  354.362      1.5631800000000002E-10  
  354.634      1.72266E-9              
  354.907      8.20626E-9              
  355.18       2.32116E-8              
  355.452      4.8019200000000006E-8   
  355.725      8.277049999999999E-8    
  355.997      1.2557E-7               
  356.27       1.70658E-7              
  356.543      2.1334900000000001E-7   
  356.815      2.53201E-7              
  357.088      2.90658E-7              
  357.36       3.27181E-7              
  357.633      3.66799E-7              
  357.906      4.13627E-7              
  358.178      4.7150900000000004E-7   
  358.451      5.46071E-7              
  358.723      6.40753E-7              
  358.996      7.53838E-7              
  359.269      8.782520000000001E-7    
  359.541      1.0070800000000001E-6   
  359.814      1.13458E-6              
  360.087      1.25615E-6              
  360.359      1.36984E-6              
  360.632      1.4798E-6               
  360.904      1.59784E-6              
  361.177      1.73683E-6              
  361.45       1.88919E-6              
  361.722      2.04373E-6              
  361.995      2.19605E-6              
  362.267      2.33822E-6              
  362.54       2.45809E-6              
  362.813      2.56535E-6              
  363.085      2.67317E-6              
  363.358      2.77596E-6              
  363.63       2.86241E-6              
  363.903      2.92365E-6              
  364.176      2.9630800000000004E-6   
  364.448      2.9885699999999997E-6   
  364.721      3.01104E-6              
  364.993      3.04144E-6              
  365.266      3.08655E-6              
  365.539      3.1405300000000002E-6   
  365.811      3.19628E-6              
  366.084      3.24999E-6              
  366.357      3.29281E-6              
  366.629      3.32173E-6              
  366.902      3.3354699999999997E-6   
  367.174      3.33144E-6              
  367.447      3.3105600000000003E-6   
  367.72       3.28378E-6              
  367.992      3.26201E-6              
  368.265      3.2583800000000003E-6   
  368.537      3.28252E-6              
  368.81       3.33837E-6              
  369.083      3.42132E-6              
  369.355      3.51102E-6              
  369.628      3.55942E-6              
  369.9        3.5260399999999996E-6   
  370.173      3.40548E-6              
  370.446      3.20611E-6              
  370.718      2.94238E-6              
  370.991      2.64847E-6              
  371.263      2.35817E-6              
  371.536      2.09157E-6              
  371.809      1.86532E-6              
  372.081      1.6879199999999999E-6   
  372.354      1.56492E-6              
  372.627      1.4976E-6               
  372.899      1.4715600000000002E-6   
  373.172      1.4662800000000001E-6   
  373.444      1.47317E-6              
  373.717      1.47896E-6              
  373.99       1.48578E-6              
  374.262      1.4971300000000002E-6   
  374.535      1.50988E-6              
  374.807      1.52713E-6              
  375.08       1.56294E-6              
  375.353      1.6067200000000001E-6   
  375.625      1.65164E-6              
  375.898      1.7035800000000002E-6   
  376.17       1.76292E-6              
  376.443      1.83219E-6              
  376.716      1.92656E-6              
  376.988      2.04736E-6              
  377.261      2.17186E-6              
  377.533      2.28794E-6              
  377.806      2.39083E-6              
  378.079      2.46304E-6              
  378.351      2.4871E-6               
  378.624      2.47713E-6              
  378.897      2.44311E-6              
  379.169      2.3958E-6               
  379.442      2.3489E-6               
  379.714      2.31461E-6              
  379.987      2.28768E-6              
  380.26       2.25797E-6              
  380.532      2.21024E-6              
  380.805      2.14131E-6              
  381.077      2.0538200000000003E-6   
  381.35       1.94578E-6              
  381.623      1.8283599999999999E-6   
  381.895      1.71198E-6              
  382.168      1.60052E-6              
  382.44       1.50776E-6              
  382.713      1.45015E-6              
  382.986      1.41659E-6              
